"nr","name","vorname","fraktion","funktion","beschreibung","dauer"
"317","Rüedi","Beat","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","ELAG Holding AG, Kreuzlingen: Verwaltungsrat, Mitglied; ABR Holding AG, Kreuzlingen: Verwaltungsrat, Mitglied; Lang Energie AG, Kreuzlingen: Verwaltungsrat, Präsident; Auto Lang AG, Kreuzlingen: Verwaltungsrat, Präsident; J. Debrunner AG, Ermatingen: Verwaltungsrat, Präsident; LBT BioTec GmbH, Ochsenfurt(D): Geschäftsführung, Mitglied; Solida AG, Kreuzlingen: Verwaltungsrat, Präsident; Solida Logistik AG, Kreuzlingen: Verwaltungsrat, Präsident; Dombrova Holding AG, Zug: Verwaltungsrat, Mitglied; sogedes.digital AG, Herisau: Verwaltungsrat, Mitglied; Stiftung Rosenegg, Kreuzlingen: Stiftungsrat, Mitglied; Hans u. Anna Hahn-Schüeb-Stiftung, Kreuzlingen: Stiftungsrat, Mitglied; Lilli u. Willi Schuler-Stiftung, Kreuzlingen: Stiftungsrat, Präsident; Nägeli's Erben AG, Altnau: Verwaltungsrat, Präsident; Wohnbaugenossenschaft Region Kreuzlingen, Kreuzlingen: Vorstand, Mitglied; Stiftung Drachenburg und Waaghaus, Gottlieben: Stiftungsrat, Mitglied; Osterwalder Zürich AG, Zürich: Verwaltungsrat, Präsident; ZUMAC AG, Frauenfeld: Verwaltungsrat, Mitglied; Automobile Diethelm AG, Amriswil: Verwaltungsrat, Vizepräsident.","01.01.2025 -"
"388","Birk","Markus","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Carl&Margrit Roesch-Stiftung, Diessenhofen: Stiftungsrat, Mitglied; 

Glasfaserkabelnetz AG, Diessenhofen: Verwaltungsrat, Präsident; 

Klärschlammverwertungs AG Thurgau, Weinfelden: Verwaltungsrat, Präsident;

Altersheim Vogelsang, Diessenhofen: Stiftungsrat, Mitglied; 

Zukunft Thurgau, Weinfelden: Stiftungsrat, Präsident; 

Regionale Berufsbeistandschaft Thurgau Nordwest, Steckborn: Ausschuss, Mitglied; 

Spitexverband Thurgau: Vorstand, Vizepräsident; 

Spitexverband Schweiz: Vorstand, Mitglied; 

Agglomerationsverein Schaffhausen: Vorstand, Mitglied; 

Regionalkonferenz Zürich Nordost: Mitglied; 

Abwasserzweckverband Region Diessenhofen: Vorstand, Präsident; 

Heeresstab der Armee (aktiv): Oberst, Chef Genie","01.01.2025 -"
"388","Birk","Markus","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Diessenhofen: Stadtpräsident; 

Schlichtungsbehörde Diessenhofen: Mitglied","01.01.2025 -"
"400","Sigg","Alexander","GLP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","SIGG Immobilien Treuhand AG: Eschlikon; Verwaltungsrat-Präsident","01.01.2025 -"
"400","Sigg","Alexander","GLP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","GLP Bezirk Münchwilen: Vorstand-Kassier","01.01.2025 -"
"97","Senn","Norbert","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","FC St. Gallen 1879, St. Gallen: Vorstand, Mitglied; 

Fussball Nachwuchs Akademie Ostschweiz, St. Gallen: Stiftungsrat, Vizepräsident;

Swiss Football League, Bern: Transferkommission, Mitglied.","01.01.2025 -"
"97","Senn","Norbert","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Die Mitte Romanshorn: Vorstand, Mitglied;

Die Mitte Bezirk Arbon: Vorstand, Mitglied","01.01.2025 -"
"357","Dietz","Mathias","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Verein für Jugend, Aadorf: Vorstand, Mitglied;

Evang. Kirchgemeinde Aadorf-Aawangen: Kirchenvorsteherschaft, Mitglied;

Interkantonale Begleitkommission Kantonsschule Wil (IBKW), Mitglied","01.01.2025 -"
"357","Dietz","Mathias","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","EVP Münchwilen: Vorstand, Präsident","01.01.2025 -"
"385","Stadler","Sandra","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Verein Sozialpsychiatrie Thurgau: Vorstand, Präsidentin; 
Mieterschlichtungsbehörde Münsterlingen, Behörde, Mitglied;
RehaEx Güttingen, Vorstand, Mitglied;
Mint4kids Thurgau, Präsidentin ","01.01.2025 -"
"385","Stadler","Sandra","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Die Mitte Thurgau, Vorstand, Präsidentin; Die Mitte Schweiz: Delegierte.","01.01.2025 -"
"387","Stricker","Christian","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","EVP Thurgau, Parteileitung, Mitgleid.","01.01.2025 -"
"438","Bürgi","Markus","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Tschanen AG Bauunternehmung, Müllheim: Verwaltungsrat, Präsident;
Tschanen Visionen AG, Müllheim: Verwaltungsrat, Präsident;
Tschanen Holding AG, Müllheim: Verwaltungsrat, Präsident;
Prematic AG, Affeltrangen: Verwaltungsrat, Mitglied;
Prematic Immobilien AG, Affeltrangen: Verwaltungsrat, Mitglied;
Prematic Holding AG, Affeltrangen: Verwaltungsrat, Mitglied;
LST Energie AG, Stettfurt: Verwaltungsrat, Mitglied;
Swiss Sliding, Glarus Nord: Verbands-Einzelgericht, Einzelrichter;
Verband Thurgauer Gemeinden, Weinfelden: Vorstand, Mitglied;
Zweckverband Feuerwehr Matzingen-Stettfurt, Matzingen: Kommission, Präsident;
Zivilschutzorganisation Bezirk Frauenfeld, Frauenfeld: Vizepräsident;
Novathur AG, Weinfelden: Verwaltungsrat, Präsident,
Langfeld AG, Frauenfeld: Verwaltungsrat, Mitglied","01.01.2025 -"
"438","Bürgi","Markus","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Stettfurt: Gemeindepräsident","01.01.2025 -"
"207","Vetterli","Daniel","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Verband Thurgauer Landwirtschaft (VTL): Vorstand, Mitglied

Thurgauer Milchproduzenten: Vorstand, Präsident","01.01.2025 -"
"211","Zuber","Andreas","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Stiftung Zentrum für Musik und Tanz, Weinfelden: Stiftungsrat, Mitglied.","01.01.2025 -"
"211","Zuber","Andreas","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","SVP Ortspartei Märstetten: Präsident

SVP Bezirk Weinfelden: Vorstand, Präsident; 

SVP TG: Geschäftsleitung, Vorstand, Mitglied","01.01.2025 -"
"392","Siegenthaler","Patrick","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","CM Informatik AG, Schwerzenbach: Mitinhaber, Geschäftsleitung;
Wärmeverbund Oberdorf GmbH, Herdern: Geschäftsführer;
Campus Software AG, Schwerzenbach: Verwaltungsratsmitglied;
Klapp GmbH, Fislisbach: Geschäftsleitung;
Arbeitsgemeinschaft Wirtschaft und Gesellschaft (AWG) Thurgau: Präsident;
Gewerbeverband Thurgau (TGV): Mitglied Vorstand;
Solar Strom Pool Thurgau: Mitglied Vorstand;
HEV Steckborn: Mitglied Vorstand;
Sekundarschule Hüttwilen: Mitglied RPK","01.01.2025 -"
"392","Siegenthaler","Patrick","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Die Mitte Thurgau: Mitglied Vorstand;
Die Mitte Bezirk Frauenfeld: Mitglied Parteileitung;
Die Mitte Seebachtal: Präsident;
Fraktion Die Mitte/EVP: Mitglied Vorstand (Kassier)","01.01.2025 -"
"401","Hug","Celina","GLP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Stadtrat Romanshorn: Stadträtin","01.01.2025 -"
"265","Mader","Christian","EDU/Aufrecht","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","raumwerke AG, Frauenfeld: Geschäftsleitung, Mitglied.","01.01.2025 -"
"265","Mader","Christian","EDU/Aufrecht","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Frauenfeld Stadtparlament, Mitglied

EDU Thurgau, Präsident","01.01.2025 -"
"369","Reinhart","Sandra","GRÜNE","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Regio Energie Amriswil (REA), Amriswil: Verwaltungsrat, Mitglied.","01.01.2025 -"
"369","Reinhart","Sandra","GRÜNE","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Amriswil: Stadtrat, Mitglied","01.01.2025 -"
"399","Büchi","Cornelia","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Technische Gemeindebetriebe, Bischofszell: Mitglied des Verwaltungsrates;

Wärme Bischofszell Sittertal AG, Bischofszell: Mitglied des Verwaltungsrates","01.01.2025 -"
"399","Büchi","Cornelia","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Mieterschlichtungskommision Uesslingen: Mitglied;

SVP Ortspartei Iselisberg: Aktuarin","01.01.2025 -"
"297","Schär","Urs","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Verband KVA TG, Weinfelden: Verwaltungsrat, Vizepräsident; Verband Thurgauer Landwirt-schaft (VTL), Weinfelden: Vorstand, Mitglied; Vianco AG, Brugg: Verwaltungsrat, Mitglied.","01.01.2025 -"
"297","Schär","Urs","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Langrickenbach: Vize-Gemeindepräsident","01.01.2025 -"
"297","Schär","Urs","SVP","Unvereinbarkeit GR (KV § 29 Abs. 2)","Landwirtschaftsamt Thurgau: ÖLN-Kontrolleur (ca.4%)","01.01.2025 -"
"338","Bétrisey","Karin","GRÜNE","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Strittmatter Partner AG, St. Gallen: Verwaltungsrat, Mitglied; 

Eidg. Kommission für Ing.-Geometerinnen und Ing.-Geometer: Vorstand, Mitglied; 

ERR Raumplaner AG, St. Gallen: Mitglied der Geschäftsleitung;

Verein Komplementärmedizin Thurgau: Vorstand, Präsidium","01.01.2025 -"
"427","Rüdisüli","Marc","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Mitglied Parteipräsidium, Die Mitte Schweiz;
Mitglied Parteileitung, Die Mitte Thurgau;
Mitglied Bezirksvorstand, Die Mitte Bezirk Münchwilen","01.01.2025 -"
"423","Marti","Ulrich","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Politische Gemeinde Herdern, Herdern: Gemeinderat, Präsidium;

Schloss Herdern, Herdern: Vorstand, Mitglied;

Bioenergie Herdern AG, Herdern: Verwaltungsrat, Präsidium;

Zweckverband Wasserversorgung Seerücken West, Mammern: Betriebskommission, Mitglied;

Regio Frauenfeld, Frauenfeld: Vorstand, Mitglied","01.01.2025 -"
"423","Marti","Ulrich","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Herdern: Präsidium;

Regio Frauenfeld: Vorstandsmitglied;

SVP Ortspartei Seebachtal: Vorstandsmitglied","01.01.2025 -"
"291","Eugster","Daniel","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Haustechnik Eugster AG, Roggwil: Geschäftsführung, Verwaltungsrat, Präsident, Inhaber; 

trinq AG, Roggwil: Geschäftsführer, Verwaltungsrat, Präsident, Inhaber; 

Eugster Group AG, Roggwil: Geschäftsführer, Verwaltungsrat, Präsident, Inhaber; 

Kulturzentrum Presswerk AG, Arbon: Verwaltungsrat, Mitglied; 

Kulturverein Presswerk, Arbon: Vorstand, Präsident; 

swisscleantech: Vorstand, Mitglied;

Haustechnik Plan b, St. Gallen: Verwaltungsrat, Präsident, Mitinhaber;

E. Weber AG, Wattwil: Verwaltungsrat, Mitglied;

Einkaufsgenossenschaft Gebäudetechnik EGT: Verwaltungsrat, Mitglied;

Kantonsschule Romanshorn: Beirat;

Projekte für den Thurgau: Beirat","01.01.2025 -"
"291","Eugster","Daniel","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","FDP Bezirk Arbon: Vorstand, Mitglied","01.01.2025 -"
"406","Preiss","Marcel","GLP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Parlament Weinfelden, Parlamentarier","01.01.2025 -"
"314","Müller","Mathis","GRÜNE","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Birdlife Thurgau: Vorstand, Mitglied; Birdlife Schweiz, Zürich: Delegierter; Natur- und Vogelschutzverein, Pfyn: Vorstand, Präsident.","01.01.2025 -"
"314","Müller","Mathis","GRÜNE","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Pfyn: Gemeinderat, Mitglied","01.01.2025 -"
"324","Tschanen","Mathias","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Tschanen AG, Müllheim: Verwaltungsrat, Geschäftsleitung, Mitglied; Kreis Wasserbau AG, Weinfelden: Verwaltungsrat, Mitglied; Kreis Waserbau Immo AG, Weinfelden: Verwaltungsrat, Mitglied; Tschanen Visionen AG, Müllheim: Verwaltungsrat, Mitglied; Tschanen Immobilien AG, Müllheim: Verwaltungsrat, Mitglied; Tschanen Holding AG, Müllheim: Verwaltungsrat, Mitglied; Stiftung Bildhauerschule, Müllheim: Stiftungsrat, Mitglied.","01.01.2025 -"
"324","Tschanen","Mathias","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Thurgauischer Baumeisterverband: Vorstand, Präsident; Thurgauer-Gewerbeverband: Vorstand, Mitglied","01.01.2025 -"
"418","Greber","Kenny","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Vorstand: Sozialpädagogische Wohngruppe Magellan, Salmsach","01.01.2025 -"
"418","Greber","Kenny","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Co-Parteipräsident SP Thurgau","01.01.2025 -"
"140","Schallenberg","Turi","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Sozialen Dienste Untersee & Rhein (SDUR): Geschäftsleiter;
Selbsthilfe Thurgau, Weinfelden: Patronatskomitee, Präsident;
TKöS (Thurg. Konferenz öffentliche Sozialhilfe) Vorstand, Mitglied","01.01.2025 -"
"352","Müller","Elina","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Kreuzlingen: Gemeinderat, Präsidentin","01.01.2025 -"
"416","Fritschi","Manuela","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Vorstandsmitglied: MURGHOF Werkstätten, Frauenfeld

Verwaltungsrätin: Raiffeisenbank am Bichelsee, Turbenthal","01.01.2025 -"
"416","Fritschi","Manuela","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Präsidentin Rechnungs- und Geschäftsprüfungskommission, Polit. Gemeinde Eschlikon","01.01.2025 -"
"358","Hänni","Severine","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Frauenfeld: Gemeinderat, Mitglied Geschäftsprüfungskommission «Finanzen und Administration»","01.01.2025 -"
"412","Brunner","Claude","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Alters- und Pflegezentrum Amriswil (APZ), Amriswil: Betriebskommission, Präsident;

Spitex Oberthurgau, Amriswil: Vorstand, Mitglied","01.01.2025 -"
"412","Brunner","Claude","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Stadt Amriswil: Stadtrat, Ressort Alter und Gesundheit","01.01.2025 -"
"356","Brühlmann Zwahlen","Maja","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Sulgen: Gemeinderat, Mitglied","01.01.2025 -"
"359","Hauser","Cornelia","GRÜNE","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Vivala Weinfelden, Stiftungsrat

Stiftung Tierschutzzentrum Thurgau, Mitglied 

Kantonalkommission Pro Infirmis TG/SH, Mitglied","01.01.2025 -"
"367","Peter","Priska","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Energie Münchwilen AG, Münchwilen: Verwaltungsrat, Mitglied.","01.01.2025 -"
"367","Peter","Priska","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","SVP Münchwilen: Vorstand, Co-Präsidium","01.01.2025 -"
"409","Bernold","Claudio","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Vizepräsident SK-CA, Schweizerische Schiedsrichter-Kommission SFV;

Schweizerischer Fussballverband SFV, Muri bei Bern","01.01.2025 -"
"409","Bernold","Claudio","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Frauenfeld: Gemeinderat, Mitglied;

Technische Berufsschule Frauenfeld: BM-Kommission, Mitglied","01.01.2025 -"
"415","Frei Barbosa","Michaela","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","TAGEO (Elternbildung Thurgau), Frauenfeld: Vorstandsmitglied","01.01.2025 -"
"417","Graf","Ulrich","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Geschäftsführer (CEO), Witzig Alteco Digital Service AG, Frauenfeld","01.01.2025 -"
"417","Graf","Ulrich","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Mitglied, Sozialhilfe Behörde Aadorf","01.01.2025 -"
"361","Macedo","Gabriel","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Regio Energie Amriswil (REA), Amriswil: Verwaltungsrat, Vize-Präsident;

Abwasserverband Aachtal, Amriswil: Betriebskommission, Präsident;

Regionale Schiessanlage Almensberg, Amriswil: Betriebskommission, Präsident;

Thurgau Tourismus, Romanshorn: Vorstand, Mitglied;

Region Oberthurgau, Arbon: Vorstand, Mitglied;

BUS Oberthurgau AG (BOTG), Amriswil: Verwaltungsrat, Präsident;

BOS Management AG, Altstätten SG: Verwaltungsrat, Mitglied;

BUS Ostschweiz AG, Altstätten SG: Verwaltungsrat, Mitglied;

BOS Service AG, Altstätten SG: Verwaltungsrat, Mitglied;

Oberthurgau Immobilien AG: Amriswil: Verwaltungsrat, Präsident;

Smarter Thurgau, Weinfelden: Vorstand, Mitglied;

Thurgauer Bürgschaftsgenossenschaft: Vorstand, Vize-Präsident;

Verein Digitalarchiv Thurgau, Amriswil: Vorstand, Präsident;","01.01.2025 -"
"361","Macedo","Gabriel","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Amriswil: Stadtpräsident: 

FDP.Die Liberalen Thurgau, Vorstand, Präsident.","01.01.2025 -"
"353","Ricklin","Judith","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Bundesamt für Sport BASPO, Magglingen: J+S Expertin;
Sportstiftung Thurgau: Vizepräsidentin;","01.01.2025 -"
"353","Ricklin","Judith","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Kreuzlingen: Gemeinderat, Mitglied
Vizepräsidentin SVP Thurgau; Mitglied Parteivorstand SVP Schweiz","01.01.2025 -"
"353","Ricklin","Judith","SVP","Unvereinbarkeit GR (KV § 29 Abs. 2)","stundenweise (0 – max. 17.5h/Mt.; im Stundenlohn) Arbeitseinsätze für das Elterncafé+ in Zusammenhang mit dem Master Frühe Kindheit der Pädagogischen Hochschule Thurgau (PHTG)","01.01.2025 -"
"212","Wirth","Andreas","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Förderverein PHTG, Vorstand, Mitglied.","01.01.2025 -"
"212","Wirth","Andreas","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Primar- und Sekundarschulgemeinde Frauenfeld: Schulpräsident","01.01.2025 -"
"425","Niederberger","Thomas","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Präsident, Vorstand: Verband Thurgauer Gemeinden VTG, Weinfelden
Präsident, Verwaltungsrat: Bodensee-Arena AG, Kreuzlingen
Mitglied, Stiftungsrat: Stiftung Das Trösch, Kreuzlingen
Präsident, Vorstand: Agglomerationsprogramm Kreuzlingen-Konstanz, Kreuzlingen 
Vize-Präsident, Vorstand: Regio Kreuzlingen, Kreuzlingen 
Mitglied, Vorstand: Thurgau Tourismus, Romanshorn","01.01.2025 -"
"425","Niederberger","Thomas","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Stadtpräsident, Politische Gemeinde Kreuzlingen	

Vorstand, FDP Ortspartei Kreuzlingen","01.01.2025 -"
"377","Zeitner","Nicole","GLP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","BENEFO, Frauenfeld: Stiftungsrat, Mitglied.

INSOS Thurgau, Stettfurt: Geschäftsleiterin

Greuterhof, Islikon: Stiftungsrat, Vorstand, Mitglied

WWF Thurgau, Vorstand, Mitglied","01.01.2025 -"
"377","Zeitner","Nicole","GLP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","GLP Bezirk Frauenfeld: Vorstand, Mitglied

GLP Thurgau: Vorstand, Mitglied

Kulturkommission Kanton Thurgau: Mitglied","01.01.2025 -"
"273","Vietze","Kristiane","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Baumer Group, Frauenfeld: Verwaltungsrat, Sekretär; Stiftung Kartause Ittingen: Stiftungsrat, Mitglied; Schloss Herdern: Vorstand, Mitglied; Think Tank Thurgau: Vorstand, Mitglied; TWI Thurgauer Wirtschaftsinstitut: Vorstand, Mitglied.","01.01.2025 -"
"273","Vietze","Kristiane","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","IHK Industrie- und Handelskammer: Vorstand, Mitglied; Kantonsschule Frauenfeld, Beirat","01.01.2025 -"
"366","Neuweiler","Denise","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Kompetenzzentrum Soziale Dienste See, Münsterlingen: Vorstand, Mitglied; Fürsorgekommission, Langrickenbach: Präsidentin; Thurgauische Konferenz für öffentl. Sozialhilfe TKöS, Weinfelden: Vorstand, Mitglied; Perspektive Thurgau, Weinfelden: Vorstand, Mitglied.","01.01.2025 -"
"366","Neuweiler","Denise","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Langrickenbach: Gemeindepräsidentin","01.01.2025 -"
"295","Steiger Eggli","Christine","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Stiftung Andante, Winterthur: Stiftungsrat, Mitglied.","01.01.2025 -"
"210","Zimmermann","David","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Ochsen Braunau AG, Braunau: Verwaltungsrat, Präsident; Alterszentrum Münchwilen, Münchwilen: Verwaltungsrat, Mitglied; Sicherheitsverbund Region Wil, Wil: Verwaltungsrat, Mitglied; Berufsbeistandschaft Münchwilen, Münchwilen: Verwaltungsrat, Mitglied; Thurkultur Wil: Vorstand, Präsident.","01.01.2025 -"
"210","Zimmermann","David","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Braunau: Gemeindepräsident","01.01.2025 -"
"365","Mühlemann","Stefan","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Brauhaus Sternen AG, Frauenfeld: Verwaltungsrat, Mitglied; 

Zweckverband Abfallverwertung Bazenheid, Bazenheid: Verwaltungsrat, Mitglied;

Abwasserzweckverband: Betriebskommission, Mitglied; 

HEV Kanton Thurgau: Vorstand, Präsident; 

Zivilschutzorganisation Hinterthurgau ZSO: Vorstand, Präsident; 

TCS Sektion Thurgau, Geschäftsleitung, Präsident;

Zentralclub TCS Schweiz: Verwaltungsrat, Mitglied;

VSZ (Verkehrssicherheitszentrum) Thurgau: Verwaltungsrat, Mitglied","01.01.2025 -"
"365","Mühlemann","Stefan","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Aadorf: Vizegemeindepräsident; SVP Bezirk Münchwilen: Vorstand, Mitglied","01.01.2025 -"
"65","Lüscher","Bruno","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Erweiterung Kläranlage, Aadorf: Baukommission, Präsident.","01.01.2025 -"
"65","Lüscher","Bruno","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","personalthurgau: Vorstand, Präsident","01.01.2025 -"
"347","Madörin","Lukas","EDU/Aufrecht","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Weinfelden: Stadtparlament, Mitglied","01.01.2025 -"
