"nr","name","vorname","fraktion","funktion","beschreibung","dauer"
"118","Vögeli","Max","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","KVA Thurgau, Weinfelden: Verwaltungsrat, Mitglied; Technische Betriebe Weinfelden AG: Verwaltungsrat, Mitglied; Abwasserverband Mittelthurgau: Verwaltungsrat, Präsident; Pro Senectute Thurgau: Stiftungsrat, Mitglied; Stiftung Zentrum für Musik und Tanz, Weinfelden: Stiftungsrat, Mitglied; Messen Weinfelden: Verwaltungsrat, Mitglied; Abraxas Informatik AG, St. Gallen: Verwaltungsrat, Mitglied.","01.01.2025 -"
"118","Vögeli","Max","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Weinfelden: Stadtpräsident","01.01.2025 -"
"320","Schläfli","Nina","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","SP Thurgau: Vorstand, Präsidentin; Kantonsschule Romanshorn: Beirat, Mitglied; Kulturkommission Kreuzlingen: Mitglied.","01.01.2025 -"
"326","Zecchinel","Cornelia","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Agromarketing Thurgau AG, Salenstein: Verwaltungsrat, Mitglied; Zecchinel Immobilien AG, Tägerwilen: Verwaltungsrat, Mitglied; Bürgergemeinde Kreuzlingen: Verwaltungsrat, Präsidentin; Pro Forst, Kreuzlingen: Vorstand, Mitglied; Revierkörperschaft Kreuzlingen: Vorstand, Mitglied; SRG Ostschweiz, St. Gallen: Vorstand, Mitglied.","01.01.2025 -"
"326","Zecchinel","Cornelia","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Kulturkommission Kanton Thurgau: Mitglied","01.01.2025 -"
"294","Haller","Hansjörg","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Verein Mülibach, Dussnang: Vorstand, int. Aufsicht.","01.01.2025 -"
"294","Haller","Hansjörg","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","EVP Schweiz: Vorstand, Mitglied","01.01.2025 -"
"322","Schmid","Pascal","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Muri Partner Rechtsanwälte AG: Verwaltungsrat

meinThurgau AG: Verwaltungsrat

Alterszentrum Bussnang: Stiftungsrat

HEV Thurgau: Vizepräsident

HEV Region Weinfelden, Weinfelden: Präsident 

Verband Kantonspolizei Thurgau, Frauenfeld: Vorstand, Präsident

Stiftung Sterbekasse Kantonspolizei Thurgau: Präsident Stiftungsrat","01.01.2025 -"
"322","Schmid","Pascal","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","SVP Schweiz: Vorstand; SVP Thurgau: Vorstand, Mitglied; SVP Bezirk Weinfelden: Vorstand, Mitglied, SVP Weinfelden: Vorstand, Mitglied","01.01.2025 -"
"202","Meyer","Robert","GLP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Genossenschaft REGI die Neue, Sirnach: Verwaltungsrat, Mitglied.","01.01.2025 -"
"202","Meyer","Robert","GLP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Grünliberale Partei Thurgau: Vorstand, Präsident;

glp Schweiz: Vorstand, Mitglied","01.01.2025 -"
"132","Wiesmann Schätzle","Sonja","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Verein Integrationsförderung Bezirk Weinfelden: Vorstand, Präsidium","01.01.2025 -"
"132","Wiesmann Schätzle","Sonja","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Wigoltingen: Gemeindepräsidentin","01.01.2025 -"
"271","Schrepfer","Urs","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","PHTG, Kreuzlingen: Hochschulrat, Migtlied; VTGS Amriswil: Vorstand, Mitglied.","01.01.2025 -"
"271","Schrepfer","Urs","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Schulkommission Sirnach: Präsident; PG Sirnach: Gemeinderat, Mitglied","01.01.2025 -"
"276","Wüst-Singer","Iwan","","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Kinderheim Selam, Pfungen: Vorstand, Präsident; Regio Wil, Wil: Vorstand, Mitglied; EDU TG, Zufen: Vorstand, Mitglied.","01.01.2025 -"
"319","Scherrer","Egon","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","SVP Egnach: Vorstand, Präsident","01.01.2025 -"
"128","Zahnd","Robert","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Forest AG, Stettfurt: Verwaltungsrat, Mitglied.","01.01.2025 -"
"55","Knöpfli","Walter","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Landi Region, Kesswil: Vorstand, Präsident; Waldkoorporation, Kesswil: Vorstand, Kassier; Hans Knöpfli Stiftung, Kesswil; Stiftungsrat, Mitglied; Löwaro AG, Kesswil: Verwaltungsrat, Präsident; Knöpflihof GmbH Kesswil: Geschäftsführer.","01.01.2025 -"
"14","Brunner","Max","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Weinfelden: Stadtparlament, Mitglied","01.01.2025 -"
"368","Pfiffner Müller","Martina","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Pfiffner Beratung GmbH: Geschäftsführerin, Inhaberin; Beratungsnetzwerk Rocketworks: Mitgründerin.","01.01.2025 -"
"368","Pfiffner Müller","Martina","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","FDP Thurgau, Vorstand, Vizepräsidium; ThurgauerGewerbeverein: Vorstand Mitglied; Gewerbeverein der Region Frauenfeld: Vorstand, Vizepräsidium; Kommission für Gesundheitsförderung, Prävention und Sucht: Mitglied; Forum Betriebliches Gesundheitsmanagement: Vorstand Mitglied.","01.01.2025 -"
"102","Stokholm","Anders","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Stiftung Wohnheim Sonnenrain, Zihlschlacht: Stiftungsrat, Mitglied;

Pensionskasse Frauenfeld, Frauenfeld: Stiftungsrat, Mitglied;

Kulturstiftung des Kantons Thurgau, Frauenfeld: Stiftungsrat, Präsident","01.01.2025 -"
