"doc_title","doc_link","geschaeftstitel","geschaeftsnummer"
"Fortsetzung 1. Lesung (1)","https://archivportal.tg.ch/","Gesetz über das Gastgewerbe und den Handel mit alkoholhaltigen Getränken","92/GE 21/254"
"Fortsetzung 1. Lesung (2)","https://archivportal.tg.ch/","Gesetz über das Gastgewerbe und den Handel mit alkoholhaltigen Getränken","92/GE 21/254"
"Fortsetzung 1. Lesung (3)","https://archivportal.tg.ch/","Gesetz über das Gastgewerbe und den Handel mit alkoholhaltigen Getränken","92/GE 21/254"
"2. Lesung","https://archivportal.tg.ch/","Gesetz über das Gastgewerbe und den Handel mit alkoholhaltigen Getränken","92/GE 21/254"
"Redaktionslesung/Schlussabst.","https://archivportal.tg.ch/","Gesetz über das Gastgewerbe und den Handel mit alkoholhaltigen Getränken","92/GE 21/254"
"endgültige Fassung","https://archivportal.tg.ch/","Gesetz über das Gastgewerbe und den Handel mit alkoholhaltigen Getränken","92/GE 21/254"
"Beantwortung","https://archivportal.tg.ch/","Motion Peter Keller betreffend Erlass eines Kleinkreditgesetzes zum Schutze der Konsumenten","92/MO 18/272"
"Beschluss","https://archivportal.tg.ch/","Motion Peter Keller betreffend Erlass eines Kleinkreditgesetzes zum Schutze der Konsumenten","92/MO 18/272"
"Begründung","https://archivportal.tg.ch/","Motion Wilfried Gusset betreffend Aufhebung des Zwangs zur individuellen Heizkostenerfassung und -abrechnung in Altbauten","92/MO 19/273"
"Beantwortung","https://archivportal.tg.ch/","Motion Wilfried Gusset betreffend Aufhebung des Zwangs zur individuellen Heizkostenerfassung und -abrechnung in Altbauten","92/MO 19/273"
"Beschluss","https://archivportal.tg.ch/","Motion Wilfried Gusset betreffend Aufhebung des Zwangs zur individuellen Heizkostenerfassung und -abrechnung in Altbauten","92/MO 19/273"
"Begründung","https://archivportal.tg.ch/","Motion Marc T. Haltiner, Hans Baltisser, Uta Bollinger, August Krucker und Ana Maria Witzig betreffend Schaffung der gesetzlichen Grundlagen zur Einführung eines ständigen Jugendparlamentes im Kanton Thurgau","92/MO 22/285"
"Beantwortung","https://archivportal.tg.ch/","Motion Marc T. Haltiner, Hans Baltisser, Uta Bollinger, August Krucker und Ana Maria Witzig betreffend Schaffung der gesetzlichen Grundlagen zur Einführung eines ständigen Jugendparlamentes im Kanton Thurgau","92/MO 22/285"
"Beschluss","https://archivportal.tg.ch/","Motion Marc T. Haltiner, Hans Baltisser, Uta Bollinger, August Krucker und Ana Maria Witzig betreffend Schaffung der gesetzlichen Grundlagen zur Einführung eines ständigen Jugendparlamentes im Kanton Thurgau","92/MO 22/285"
"Begründung","https://archivportal.tg.ch/","Antrag Dr. Karl Hostettler gemäss § 46 der Geschäftsordnung des Grossen Rates betreffend Neuordnung des Finanzausgleichs","92/AN 7/286"
"Beantwortung","https://archivportal.tg.ch/","Antrag Dr. Karl Hostettler gemäss § 46 der Geschäftsordnung des Grossen Rates betreffend Neuordnung des Finanzausgleichs","92/AN 7/286"
